#漢字	音標	解釋
湯	tʰɑŋ1	
汪	uɑŋ1	
汰	tʰai1	
汽	tɕʰi5	
沈	ʂən3	
沉	tʂʰən2	
沓	tʰa7	
沙	ʂa1	
溝	kiəu1	
沒	mu7	
淪	kon1	
沰	to7	
河	xo2	
油	iəu2	
治	tʂʰʅ6	
沿	iɛn2	
泉	tɕʰiɛn2	
法	fa7	
泛	fan5	
泡	pʰɑu5	
波	po1	
泥	ȵi2	
注	tʂʯ5	
淚	lei6	
泰	tʰai5	
澤	tsʰe7	
潔	tɕie7	
洋	iɑŋ2	
洒	sa3	
洗	ɕi3	
洛	lo7	
洞	tʰoŋ6	
津	tɕin1	
洪	xoŋ2	
洲	tʂəu1	
活	xue6	
派	pʰai5	
流	liəu2	
淺	tɕʰiɛn3	
漿	tɕiɑŋ1	
澆	tɕiɑu1	
濟	tɕi5	
渾	xuən2	
滸	xu3	
濃	ȵioŋ2	
浙	tʂe7	
浩	xɑu5	
浪	lɑŋ6	
浮	fu2	
海	xai3	
浸	tɕin5	
涅	ȵie7	
消	ɕiɑu1	
濤	tʰɑu2	
漲	tʂɑŋ5	
澀	se7	
淋	lin2	
淌	tʰɑŋ3	
淘	tʰɑu2	
淡	tʰan6	
淫	in2	
淮	xuai2	
深	ʂən1	
混	xuən6	
淹	ŋan1	
清	tɕʰin1	
淵	ʯan1	
漸	tɕʰiɛn6	
漁	ʯ2	
滲	ʂən5	
渠	tʂʰʯ2	
渠	kʰie2	他
渡	tʰəu6	
渣	tʂa1	
溫	uən1	
港	kɑŋ3	
渴	kʰo7	
游	iəu2	
湃	pʰai5	
湖	xu2	
湘	ɕiɑŋ1	
灣	uan1	
溼	ʂʅ7	
潰	kʰuei5	
源	ʯan2	
溜	liəu1	
溪	tɕʰi1	
溶	ioŋ2	
滁	tʂʰʯ2	
滑	xua6	
滔	tʰɑu1	
滾	kuən3	
滯	tʂʅ5	
滿	mon3	
濫	lan6	
灘	tʰan1	
滴	ti5	
漂	pʰiɑu1	
漂	pʰiɑu3	
漂	pʰiɑu5	
漆	tɕʰi7	
漏	ləu6	
演	iɛn3	
漠	mo7	
漫	mon6	
漱	səu5	
潘	pʰon1	
潛	tɕʰiɛn2	
潭	tʰon2	
潮	tʂʰɑu2	
澎	pʰən2	
澡	tsɑu3	
激	tɕi7	
灌	kon5	
火	xo3	
滅	mie7	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsɑu5	
災	tsai1	
燦	tsʰan5	
爐	ləu2	
炊	tʂʰʯei1	
炎	iɛn2	
炕	kʰɑŋ5	
炖	tən5	
炭	tʰan5	
炮	pʰɑu5	
炸	tʂa5	
點	tiɛn3	
炼	liɛn6	
爛	lan6	
烈	lie7	
烘	xoŋ1	
烙	lo7	
燭	tʂʯ7	
烟	iɛn1	
煩	fan2	
燒	ʂɑu1	
燙	tʰɑŋ5	
熱	ʯe7	
烹	pʰən1	
烽	foŋ1	
焊	xon6	
燜	mən6	
焦	tɕiɑu1	
焰	iɛn6	
然	ʯan2	
煌	xuɑŋ2	
煞	ʂa7	
煤	mei2	
照	tʂɑu5	
煮	tʂʯ3	
熊	ɕioŋ2	
熏	ʂʯən1	
熟	ʂʯ6	
熬	ŋɑu2	
燕	iɛn5	
燥	tsɑu5	
爪	tʂʯa3	
爪	tʂɑu3	
爬	pʰa2	
愛	ŋai5	
父	fu6	
爺	ie2	
爸	pa1	
爹	tie1	
爽	ʂʯɑŋ3	
片	pʰiɛn5	
版	pan3	
牌	pʰai2	
牙	ŋa2	
牛	ȵiəu2	
牢	lɑu2	
牧	mu7	
物	ue7	
牽	tɕʰiɛn1	
特	tʰie6	
犧	ɕi1	
犁	li2	
犬	tʂʰʯan3	
犯	fan6	
狀	tʂʰʯɑŋ6	
猶	iəu2	
狂	kʰuɑŋ2	
狐	xu2	
狗	kiəu3	
狠	xən3	
獨	tʰəu6	
狹	ɕia7	
獅	sɿ1	
獄	iəu7	
狸	li2	
狼	lɑŋ2	
獵	lie7	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu7	
豬	tʂʯ1	
貓	mɑu1	
貓	miɑu2	
獻	ɕiɛn5	
猴	xəu2	
猾	xua6	
獾	xon1	
玄	ʂʯan2	
率	ʂʯai5	
率	li7	
玉	ʯ6	
王	uɑŋ2	
環	xon2	
現	ɕiɛn6	
珍	tʂən1	
珠	tʂʯ1	
班	pan1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	
琢	tʂo7	
琴	tɕʰin2	
琵	pʰi2	
瑞	ʯei5	
璃	li2	
璋	tʂɑŋ1	
璧	pi7	
瓜	kua1	
瓠	xu6	
瓣	pʰan5	
瓤	ʐɑŋ2	
瓦	ua3	
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kon1	
生	sən1	
甥	sən1	
用	ioŋ6	
甩	ʂʯai3	
由	iəu2	
甲	tɕia7	
申	ʂən1	
電	tiɛn5	
男	non2	
畫	xua6	
暢	tʂʰɑŋ5	
界	kai5	
留	liəu2	
畜	tʂʰʯ7	
畜	ɕiəu7	
略	lio7	
番	fan1	
疏	səu1	
疑	ȵi2	
療	tin1	
療	liɑu2	
疙	kie7	
瘍	iɑŋ2	
疤	pa1	
疫	ʯ7	
瘡	tʂʰʯɑŋ1	
瘋	foŋ1	
疲	pʰi2	
病	pʰin6	
症	tʂən5	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xən2	
痛	tʰoŋ5	
痞	pʰi3	
痢	li6	
痣	tʂʅ5	
痰	tʰan2	
痱	fei5	
癡	tʂʰʅ1	
瘊	xəu1	
瘟	uən1	
瘤	liəu2	
瘦	səu5	
癟	pie7	
癱	tʰan1	
癌	ŋai2	
癩	lai6	
癩	la7	
癬	ɕiɛn3	
癸	kuei5	
白	pʰe6	
百	pe7	
皂	tsʰɑu6	
的	ti5	
皆	tɕie7	
皇	xuɑŋ2	
皮	pʰi2	
皺	tsəu5	
皿	min3	
盅	tʂoŋ1	
盆	pʰən2	
盈	in2	
益	i7	
盞	tʂan3	
鹽	iɛn2	
盒	xo6	
盔	kʰuei1	
盖	kai5	
盜	tʰɑu6	
盤	pʰon2	
盛	tʂʰən2	
目	mu7	
盯	tin1	
盲	mɑŋ1	
直	tʂʰʅ6	
相	ɕiɑŋ1	
相	ɕiɑŋ5	
盼	pʰan5	
盾	tən5	
省	sən3	
眉	mi2	
看	kʰon1	
看	kʰon5	
真	tʂən1	
眠	niɛn2	
眯	mi1	
眶	kʰuɑŋ1	
眷	tʂʯan5	
眼	ŋan3	
着	tʂʰo6	
着	tʂo7	
睜	tsən1	
睏	kʰuən5	
睛	tɕʰin2	
睡	ʂʯei5	
督	təu7	
睦	mu7	
睬	tsʰai3	
瞄	miɑu2	
瞅	tsʰəu3	
瞎	xa7	
瞒	mon2	
瞧	tɕʰiɑu2	
矛	mɑu2	
知	tʂʅ1	
矩	tʂʯ3	
短	ton2	
矮	ŋai3	
石	ʂʅ6	
礬	fan2	
礦	kʰuɑŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰan3	
研	ȵiɛn3	
磚	tʂʯan1	
硯	ȵiɛn6	
砧	tʂən1	
砰	pʰoŋ1	
破	pʰo5	
砸	tsa7	
礎	tsʰəu3	
硝	ɕiɑu1	
硫	liəu2	
硬	ŋin6	
確	tɕʰio7	
礙	ŋai6	
碎	sei5	
碑	pei1	
碟	tʰie6	
碧	pi7	
碰	pʰoŋ5	
鹼	tɕiɛn3	
磁	tsʰɿ2	
磅	pɑŋ5	
磐	tɕʰin5	
磕	kʰo7	
磨	mo2	
示	ʂʅ6	
禮	li3	
社	ʂe6	
祁	tɕʰi2	
祖	tsəu3	
祝	tʂʯ7	
神	tʂʰʯən1	
神	ʂən2	
祠	tsʰɿ2	
祥	tɕʰiɑŋ2	
票	pʰiɑu5	
票	səu7	
祭	tɕi5	
禍	xo6	
禁	tɕin1	
禁	tɕin5	
禄	ləu7	
禪	tʂʰan2	
福	fu7	
禹	ʯ3	
离	li2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
禿	tʰəu7	
秉	pin3	
秋	tɕʰiəu1	
種	tʂoŋ3	
種	tʂoŋ5	
科	kʰo1	
秒	miɑu3	
租	tsəu1	
秤	tʂʰən5	
秦	tɕʰin2	
秧	iɑŋ1	
秩	tʂʰʅ7	
積	tɕi7	
稱	tʂʰən1	
稱	tʂʰən5	
移	i2	
稀	ɕi1	
程	tʂʰən2	
稍	ʂɑu1	
稅	ʂʯei5	
稗	pʰa6	
稠	tʂʰəu2	
穩	uən3	
稻	tʰɑu6	
稿	kɑu3	
究	tɕiəu5	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tʂʰʯan1	
竊	tɕʰie7	
窄	tse7	
竅	tɕʰiɑu5	
窑	iɑu2	
窖	kɑu5	
窗	tʂʰʯɑŋ1	
竄	tsʰon5	
窩	uo1	
豎	ʂʯ6	
站	tʂan5	
竟	tɕin5	
章	tʂɑŋ1	
童	tʰoŋ2	
竭	tɕie7	
端	ton1	
竹	tʂʯ7	
竿	kon3	
笆	pa1	
笋	sən3	
笑	ɕiɑu5	
笔	pi7	
笙	sən1	
笛	tʰi6	
笠	li7	
符	fu2	
笨	pʰən6	
第	tʰi6	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筐	kʰuɑŋ1	
筑	tʂʯ7	
筒	tʰoŋ2	
答	ta7	
策	tsʰe7	
篩	ʂai1	
箏	tsən1	
筷	kʰuai5	
籌	tʂʰəu2	
签	tɕʰiɛn1	
簡	tɕiɛn3	
箍	kʰu1	
箕	tɕi1	
管	kon3	
籮	lo2	
簫	ɕiɑu1	
箭	tɕiɛn5	
箱	ɕiɑŋ1	
篇	pʰiɛn1	
簍	ləu3	
篙	kɑu1	
篡	tsʰon5	
籃	lan2	
篱	li2	
篷	pʰoŋ2	
簧	xuɑŋ2	
簿	pʰu6	
籍	tɕʰi6	
米	mi3	
类	lei6	
粉	fən3	
粑	pa1	
粒	li7	
粗	tsʰəu1	
粘	tʂan1	
粥	tʂʯ7	
糞	fən5	
糧	liɑŋ2	
粱	liɑŋ2	
糉	tsoŋ5	
精	tɕin1	
精	tʰɑŋ2	
糊	xu2	
糙	tsʰɑu5	
糟	tsɑu1	
糠	kʰɑŋ1	
糯	no6	
系	tɕi5	
系	ɕi6	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	lei6	
絮	ɕi5	
繁	fan2	
紅	xoŋ2	
紂	tʂʰəu6	
約	io7	
級	tɕi7	
紀	tɕi3	
緯	uei3	
純	ʂʯən2	
紗	ʂa1	
綱	kɑŋ1	
納	na7	
縱	tsoŋ5	
紛	fən1	
紙	tʂʅ3	
紋	uən2	
紡	fɑŋ3	
線	ɕiɛn5	
練	liɛn6	
組	tsəu3	
細	ɕi5	
織	tʂʅ7	
終	tʂoŋ1	
絆	pʰan5	
紹	ʂɑu6	
經	tɕin1	
綁	pɑŋ3	
絨	ioŋ2	
結	tɕie7	
繞	ʐɑu3	
繞	ȵiɑu3	
繪	xuei6	
絳	tɕiɑŋ5	
絕	tɕʰie6	
絞	tɕiɑu3	
統	tʰoŋ3	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi7	
繩	ʂən2	
維	uei2	
綿	niɛn2	
绷	poŋ1	
綢	tʂʰəu2	
綠	ləu7	
緝	tɕʰi7	
緩	xon3	
編	piɛn1	
緣	ʯan2	
縫	foŋ2	
縫	foŋ6	
纏	tʂʰan2	
縮	ʂo7	
繮	tɕiɑŋ1	
繳	tɕiɑu3	
缸	kɑŋ1	
缺	tʂʰʯe7	
罐	kon5	
网	uɑŋ3	
羅	lo2	
罰	fa6	
罷	pa5	
罩	tʂɑu5	
罪	tsʰei6	
置	tʂʅ5	
署	ʂʯ5	
羊	iɑŋ2	
美	mei3	
羔	kɑu1	
羞	ɕiəu1	
羣	tʂʰʯən2	
羽	ʯ3	
翁	oŋ1	
翠	tsʰei5	
翰	xon2	
翻	fan1	
翼	i6	
耀	iɑu5	
老	lɑu3	
者	tʂe3	
耍	ʂʯa3	
耐	nai6	
耕	kin1	
耗	xɑu5	
耘	ʯən1	
耙	pʰa2	
耳	ʐo3	
恥	tʂʰʅ3	
聶	ȵie7	
聊	liɑu2	
聾	loŋ2	
職	tʂʅ7	
聯	liɛn2	
聘	pʰin5	
聚	tɕʰi6	
聰	tsʰoŋ1	
肅	səu7	
肆	sɿ5	
肉	ʐəu7	
肌	tɕi1	
肘	tʂəu3	
肚	təu3	
肝	kon1	
腸	tʂʰɑŋ2	
股	ku3	
肢	tʂʅ1	
肤	fu1	
肥	fei2	
肩	tɕiɛn1	
肪	fɑŋ1	
肯	kʰin3	
育	iəu7	
肺	fei5	
腎	ʂən6	
腫	tʂoŋ3	
脹	tʂɑŋ5	
胃	uei6	
膽	tsəu3	
膽	tan3	
背	pei5	
胎	tʰai1	
胖	pʰɑŋ5	
勝	ʂən5	
胞	pɑu1	
胡	xu2	
胭	iɛn1	
胯	kʰa5	
膠	tɕiɑu1	
胸	ɕioŋ1	
能	lən2	
脂	tʂʅ1	
脆	tsʰei5	
脉	mai6	
脉	me7	
脊	tɕi7	
脏	tsʰɑŋ6	
臍	tɕʰi2	
腦	nɑu3	
膿	noŋ2	
腳	tɕio7	
脯	pʰu2	
脫	tʰo7	
臉	liɛn3	
脾	pʰi2	
臘	la7	
腋	ie7	
腌	iɛn1	
腐	fu3	
腐	fu5	豆～
腑	fu3	
腥	ɕin1	
腮	sai1	
腰	iɑu1	
腹	fu7	
騰	tʰən2	
腿	tʰei3	
膀	pɑŋ3	
膏	kɑu1	
膘	piɑu1	
膝	ɕi7	
膨	pʰən2	
膻	ʂan1	
臊	sɑu1	
自	tsʰɿ6	
臭	tʂʰəu5	
至	tʂʅ5	
致	tʂʅ5	
臾	səu3	
舀	iɑu3	
舅	tɕʰiəu6	
舌	ʂe6	
舍	ʂe5	
舒	ʂʯ1	
舜	ʂʯən5	
舞	u3	
舟	tʂəu1	
般	pon1	
艦	xɑŋ2	
艦	tɕiɛn5	
艙	tsʰɑŋ1	
舷	ɕiɛn2	
船	tʂʰʯan2	
艇	tʰin3	
良	liɑŋ2	
艱	tɕiɛn1	
色	tʰei5	
色	se7	
艳	iɛn6	
藝	ȵi6	
艾	ŋai6	
節	tɕie7	
芋	ʯ6	
芍	ʂo6	
芒	mɑŋ1	
芝	tʂʅ1	
芥	tɕie5	
芥	kai5	
蘆	ləu2	
芭	pa1	
花	xua1	
芹	tɕʰin2	
芽	ŋa2	
葦	uei2	
蒼	tsʰɑŋ1	
苏	səu1	
苔	tʰai2	
苕	ʂɑu2	
苗	miɑu2	
苟	kiəu3	
苦	kʰu3	
英	in1	
茂	mu6	
范	fan6	
茄	tɕʰie2	
茅	mɑu2	
繭	tɕiɛn3	
茫	mɑŋ1	
茴	xuei2	
茶	tʂʰa2	
茸	ioŋ2	
荀	ɕin2	
草	tsʰɑu3	
薦	tɕiɛn5	
荒	xuɑŋ1	
荔	li6	
蕎	tɕʰiɑu2	
蕩	tʰɑŋ6	
榮	ioŋ2	
葷	xuən1	
藥	io7	
荷	xo2	
莫	mo6	
萊	lai2	
蓮	liɛn2	
获	xo6	
莽	mɑŋ3	
菌	tʂʯən5	
菜	tsʰai5	
菠	po1	
菩	pʰu2	
菱	lin2	
萄	tʰɑu2	
萌	moŋ2	
萍	pʰin2	
蘿	lo2	
營	tsʰɑŋ1	
蕭	ɕiɑu1	
薩	sa7	
落	lo7	
葛	ko7	
董	toŋ3	
葫	kʰu2	
葬	tsɑŋ5	
葱	tsʰoŋ1	
蒂	ti5	
蔣	tɕiɑŋ3	
蒙	moŋ1	
蒙	moŋ2	
蒲	pʰu2	
蒸	tʂən1	
蒿	xɑu1	
蓄	ɕiəu7	
蓑	so1	
蓖	pʰi6	
藍	lan2	
蓬	pʰoŋ2	
蔑	mie7	
蔓	tʰai2	
蔡	tsʰai5	
蔬	səu1	
藹	ŋai3	
蔽	pi5	
蕉	tɕiɑu1	
薄	pʰo6	
薅	xɑu1	
薪	ɕin1	
薯	ʂʯ3	
藏	tsʰɑŋ2	
藏	tsʰɑŋ6	西～
藕	ŋiəu3	
藤	tʰən2	
虎	xu3	
虜	lo3	
虐	ȵio7	
虑	ʯ6	
虛	ʂʯ1	
蟲	tʂʰoŋ2	
虹	kɑŋ5	
雖	sei1	
蝦	xa1	
蚊	uən2	
蚌	pʰɑŋ6	
蠶	tsʰon2	
蛆	tɕʰi1	
蛇	ʂe2	
蛋	tʰan6	
蛔	xuei2	
蛙	ua1	
蛛	tʂʯ1	
蛤	koŋ1	
蟄	tʂʅ7	
蛾	ŋo2	
蜂	foŋ1	
蛻	tʰei5	
蜘	tʂʅ7	
蠟	la7	
蝗	xuɑŋ2	
蝙	piɛn3	
蝠	fu7	
融	ioŋ2	
螺	lo2	
蟒	mɑŋ3	
蟠	pʰon2	
蟹	tɕiɑŋ1	
蟹	xai3	
蠢	tʂʰʯən3	
行	ɕin2	
行	xɑŋ2	银～
銜	kʰan2	
街	kai1	
衙	ia2	
衡	xən2	
衣	i1	
補	pu3	
表	piɑu3	
衫	ʂan1	
襯	tsʰən5	
衰	ʂʯai1	
袁	ʯan2	
襖	ŋɑu3	
袍	pʰɑu2	
袒	tʰan3	
袖	tɕʰiəu6	
袜	ua7	
被	pʰi6	
裁	tsʰai2	
裂	lie7	
裝	tʂʯɑŋ1	
裕	ʯ6	
裙	tʂʰʯən2	
褲	kʰu5	
裱	piɑu3	
裳	ʂɑŋ2	
裸	lo3	
裹	li3	
裹	ko3	
褪	tʰei5	
褪	tʰən5	
襟	tɕin1	
西	ɕi1	
要	iɑu5	
覆	fu7	
見	tɕiɛn5	
觀	kon1	
規	kuei1	
視	ʂʅ6	
覽	lan3	
覽	tɕiɛn3	
覺	kɑu5	
覺	tɕio7	
角	ko7	
解	kai3	
解	tɕiai3	～放
觸	tʂʯ7	
言	iɛn2	
誇	kʰua1	
譽	ʯ6	
謄	tʰən2	
誓	ʂʅ6	
警	tɕin3	
計	tɕi5	
訂	tin5	
認	ʐən6	
討	tʰɑu3	
讓	ʐɑŋ6	
訖	tɕʰi7	
訓	ʂʯən5	
議	ȵi6	
訊	ɕin5	
記	tɕi5	
講	kɑŋ3	
諱	xuei5	
許	ʂʯ3	
訛	ŋo2	
論	lən6	
訟	soŋ5	
設	ʂe7	
訪	fɑŋ3	
訣	tʂʯe7	
证	tʂən5	
評	pʰin2	
識	ʂʅ7	
詐	tʂa5	
訴	səu5	
診	tʂən3	
謅	tsəu1	
詞	tsʰɿ2	
譯	i7	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰən2	
話	xua6	
詭	kuei3	
該	kai1	
詳	tɕʰiɑŋ2	
誡	tɕie5	
誣	u1	
語	ʯ3	
誤	u6	
說	ʂʯe7	
誦	soŋ5	
請	tɕʰin3	
諾	no7	
讀	tʰəu6	
課	kʰo5	
誰	ʂʯei2	
調	tʰiɑu2	
調	tʰiɑu3	～换
調	tiɑu5	
談	tʰan2	
誼	ȵi2	
謀	mu2	
謊	xuɑŋ3	
謂	uei6	
謎	mei6	
謠	iɑu2	
謙	tɕʰiɛn1	
謹	tɕin3	
譚	tʰan2	
譜	pʰu3	
谷	ku7	
豁	xo7	
豆	tʰəu6	
豚	tʰən2	
象	ɕiɑŋ6	
豪	xɑu2	
豹	pɑu5	
豺	tʂʰai2	
貂	tiɑu1	
貌	mɑu6	
貝	pei5	
貞	tʂən1	
負	fu6	
貢	koŋ5	
財	tsʰai2	
責	tse7	
賢	ɕiɛn2	
敗	pʰai6	
賬	tʂɑŋ5	
貨	xo5	
質	tʂʅ7	
貪	tʰon1	
貧	pʰin2	
貶	piɛn3	
購	kiəu5	
貫	kon5	
貳	ʐo6	
貼	tʰie7	
貴	kuei5	
貸	tʰai6	
貿	mu6	
費	fei5	
賀	xo6	
賊	tsʰe6	
賈	tɕia3	
賄	xuei3	
資	tsɿ1	
賒	ʂe1	
賭	təu3	
賞	ʂɑŋ3	
賴	lai6	
贅	tʂʯei5	
賺	tʂʰʯan6	
賽	sai5	
赞	tsan5	
赤	tʂʰʅ7	
赦	ʂe5	
走	tsəu3	
趙	tʂʰɑu6	
趕	kon3	
起	tɕʰi3	
超	tʂʰɑu1	
越	ʯe7	
趟	tʰɑŋ5	
趣	tɕʰi5	
足	tsəu7	
趴	pʰa1	
趾	tʂʅ3	
躍	iɑu5	
跌	tie7	
跑	pʰɑu2	
跛	po3	
跟	kin1	
跪	kuei5	
路	ləu6	
跳	tʰiɑu5	
踏	tʰa7	
踢	tsʰɿ5	
踢	tʰi7	
踩	tsʰai3	
蹤	tsoŋ1	
踹	tʂʰʯai5	
蹄	tʰi2	
蹦	poŋ5	
蹲	tən1	
躁	tsɑu5	
身	ʂən1	
躬	koŋ1	
躲	to3	
躺	tʰɑŋ3	
車	tʂʯ1	
車	tʂʰe1	
軋	ŋa6	
轉	tʂʯan3	
輪	lən2	
軟	ʯan3	
轟	xoŋ1	
軸	tʂʰəu6	
輕	tɕʰin1	
載	tsai3	
載	tsai6	～人
轎	tɕʰiɑu6	
較	tɕiɑu3	
輔	fu3	
輩	pei5	
輝	xuei1	
輯	tɕi7	
輸	ʂʯ1	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰi7	
辣	la7	
辨	pʰiɛn6	
辯	pʰiɛn6	
辮	pʰiɛn6	
辰	tʂʰən2	
辱	ʐəu7	
邊	piɛn1	
达	tʰa6	
迁	tɕʰiɛn1	
迂	ʯ1	
過	ko5	
邁	mai6	
迎	in2	
運	ʯən6	
近	tɕʰin6	
返	fan3	
還	xon2	
這	te5	
進	tɕin5	
遠	ʯan3	
違	uei2	
連	liɛn2	
遲	tʂʰʅ2	
迫	pʰe7	
述	ʂʯ7	
迷	mi2	
追	tʂʯei1	
退	tʰei5	
送	soŋ5	
適	ʂʅ7	
逃	tʰɑu2	
逆	ȵi7	
選	ɕiɛn3	
遞	ti5	
途	tʰəu2	
通	tʰoŋ1	
通	i2	
逛	kuɑŋ5	
逝	ʂʅ7	
逞	tʂʰən3	
速	səu7	
造	tsʰɑu5	
逢	foŋ2	
逮	tai3	
逵	kʰuei2	
逸	i7	
逼	pi7	
遇	ʯ6	
遍	pʰiɛn5	
道	tʰɑu6	
遮	tʂe1	
遵	tsən1	
避	pʰi6	
邀	iɑu1	
邓	tʰən6	
邦	pɑŋ1	
郵	iəu2	
鄒	tsəu1	
鄰	lin2	
郎	lɑŋ2	
鄭	tʂʰən6	
郡	tʂʯən5	
部	pʰu6	
郭	ko7	
都	təu1	
鄙	pʰi3	
酒	tɕiəu3	
酥	səu1	
酬	tʂʰəu2	
醬	tɕiɑŋ5	
酵	ɕiɑu5	
酷	kʰu7	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
采	tsʰai3	
釋	ʂʅ7	
里	li3	
重	tʂʰoŋ2	
重	tʂʰoŋ6	
野	ie3	
量	liɑŋ2	
量	liɑŋ6	
金	tɕin1	
鉴	tɕiɛn5	
针	tʂən1	
釘	tin1	
釘	tin5	
釣	tiɑu5	
釵	tʂʰai1	
鈍	tʰən6	
鈔	tʂʰɑu5	
钟	tʂoŋ1	
鋼	kɑŋ1	
鋼	kɑŋ5	
鑰	io7	
欽	tɕʰin1	
鉤	kiəu1	
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鉢	po7	
鑽	tson1	
鑽	tson5	
鉀	tɕia7	
鐵	tʰie7	
鈴	lin2	
銅	tʰoŋ2	
鍘	tʂa7	
铲	tʂʰan3	
銀	in2	
鑄	tʂʯ5	
鋪	pʰu1	
鋪	pʰu5	
銷	ɕiɑu1	
鎖	so3	
鋤	tsʰəu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	foŋ1	
銳	ʯei5	
錯	tsʰo5	
錫	ɕi7	
鑼	lo2	
錘	tʂʰʯei2	
錐	tʂʯei1	
錦	tɕin3	
鍵	tɕiɛn5	
鍬	tɕʰiɑu1	
鍛	ton5	
鍍	tʰəu6	
鎮	tʂən5	
鎮	ʂən6	
鑷	ȵie7	
鏡	tɕin5	
鐐	liɑu2	
鐲	tʂʰo6	
鑲	ɕiɑŋ1	
鑲	liɛn2	
長	tʂʰɑŋ2	
長	tʂɑŋ3	
門	mən2	
閂	ʂʯan1	
閃	ʂan3	
閉	pei5	
闖	tʂʰʯɑŋ3	
閏	ʯən6	
闲	ɕiɛn2	
間	kan1	
悶	mən6	
閘	tʂa7	
鬧	tʰoŋ2	
鬧	nɑu6	
閨	kuei1	
聞	uən2	
閩	min3	
閣	ko7	
鬮	tɕiəu1	
閱	ʯe7	
閻	iɛn2	
闊	kʰo7	
隊	tei6	
防	fɑŋ2	
陽	iɑŋ2	
陰	in1	
陣	tʂʰən6	
階	kai1	
際	tɕi5	
陸	ləu7	
隴	loŋ3	
陳	tʂʰən2	
降	tɕiɑŋ5	
限	ɕiɛn6	
陝	ʂan3	
陡	təu3	
院	ʯan6	
除	tʂʰʯ2	
險	ɕiɛn3	
陵	lin2	
陶	tʰɑu2	
陷	xan6	
隆	loŋ2	
隨	sei2	
隱	in3	
隔	kie7	
障	tʂɑŋ1	
障	tʂɑŋ5	
難	nan2	
難	nan6	
雀	tɕʰio7	
雁	iɛn6	
雄	ɕioŋ2	
雄	tei6	
集	tɕʰi6	
雇	ku5	
雍	ioŋ1	
雕	tiɑu1	
雨	ʯ3	
零	lin2	
雷	lei2	
雹	pʰo6	
霧	u6	
需	ɕi1	
震	tʂən5	
霉	mei2	
霍	xo7	
霜	ʂʯɑŋ1	
霞	ɕia2	
露	ləu6	
霸	pa5	
青	tɕʰin1	
靖	tɕʰin1	
靜	tɕʰin6	
非	fei1	
面	niɛn6	
革	kie7	
靴	ʂʯe6	
鞋	xai2	
鞍	ŋon1	
鞘	tɕʰiɑu5	
鞭	piɛn1	
韭	tɕiəu3	
音	in1	
韵	ʯən5	
頁	ie7	
頂	tin3	
頃	tɕʰin3	
項	xɑŋ6	
順	ʂʯən6	
頑	uan2	
顧	ku5	
頒	pan1	
頌	soŋ5	
預	ʯ6	
領	lin3	
頸	tɕin3	
頻	pʰin2	
穎	in3	
顆	kʰo1	
題	tʰi2	
額	ŋie7	
顛	tiɛn1	
風	foŋ1	
飄	pʰiɑu1	
飄	pʰiɑu2	
飛	fei1	
食	ʂʅ6	
餐	tsʰan1	
饥	tɕi1	
飯	fan6	
飲	in3	
飾	ʂʅ7	
飽	pɑu3	
餌	ʐo3	
饒	ʐɑu2	
餃	tɕiɑu3	
餅	pin3	
餓	ŋo6	
館	kon3	
餿	səu1	
饞	tʂʰan2	
首	ʂəu3	
香	ɕiɑŋ1	
馬	ma3	
馱	tʰo2	
馴	ʂʯən2	
馳	tʂʰʅ2	
駁	po7	
驢	ləu2	
駛	sɿ3	
駐	tʂʯ5	
駝	tʰo2	
駕	tɕia5	
罵	ma6	
驕	tɕiɑu1	
駱	lo7	
驗	ȵiɛn6	
騎	tɕʰi2	
騙	pʰiɛn5	
騷	sɑu1	
騾	lo2	
骨	ku7	
高	kɑu1	
鬃	tsoŋ1	
鬼	kuei3	
魁	kʰuei1	
魂	xuən2	
魄	pʰe7	
魏	uei5	
魔	mo2	
魚	ʯ2	
魯	ləu3	
鮓	tʂa3	
鮮	ɕiɛn1	
鯉	li3	
鯽	tɕi7	
鰓	sai1	
鰍	tɕʰiəu1	
鱉	pie7	
鱗	lin2	
鳥	ȵiɑu3	
鳩	tɕiəu1	
雞	tɕi1	唱
鳴	min2	
鴨	ŋa7	
鴦	iɑŋ1	
鴛	ʯan1	
鴿	ko7	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰio7	
鵬	pʰoŋ2	
鶴	xo6	
